PI4060,Product Impact,Client Information,Cross-Sector,Client Individuals: Total,Number of unique individuals who were clients of the organization during the reporting period.  ,Metric,Flow,Number of people
PI8330,Product Impact,Client Information,Cross-Sector,Client Individuals: Female,Number of unique women who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI3193,Product Impact,Client Information,Cross-Sector,Client Individuals: Poor,Number of unique poor individuals who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI9835,Product Impact,Client Information,Cross-Sector,Client Individuals: Very Poor,"Number of unique very poor individuals who were clients of the organization during the reporting period.
",Submetric,Flow,Number of people
PI7098,Product Impact,Client Information,Cross-Sector,Client Individuals: Low Income,Number of unique low-income individuals who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI1190,Product Impact,Client Information,Cross-Sector,Client Individuals: Rural,Number of unique individuals in rural areas who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI6751,Product Impact,Client Information,Cross-Sector,Client Individuals: Urban,Number of unique individuals in urban areas who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI3960,Product Impact,Client Information,Cross-Sector,Client Individuals: Peri-urban,Number of unique individuals in peri-urban areas who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI6266,Product Impact,Client Information,Cross-Sector,Client Individuals: Disabilities,Number of unique individuals with disabilities who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI4237,Product Impact,Client Information,Cross-Sector,Client Individuals: Minorities/Previously Excluded,Number of unique individuals who belong to minority or previously excluded groups and were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI1945,Product Impact,Client Information,Cross-Sector,Client Individuals: Children/Adolescents,Number of unique children and adolescents who were clients of the organization during the reporting period.,Submetric,Flow,Number of people
PI9327,Product Impact,Client Information,Cross-Sector,Client Individuals: Active,"Number of unique individuals who were active clients of the organization as of the end of the reporting period.

Organizations should footnote the description of the type of clients included in the calculation.",Submetric,Stock,Number of people
PI8732,Product Impact,Client Information,Cross-Sector,Client Individuals: New,"Number of unique individuals who were first-time clients of the organization during the reporting period.

Organizations should footnote any assumptions or guidelines used when reporting against this metric.",Submetric,Flow,Number of people
PI6372,Product Impact,Client Information,Agriculture,Client Individuals: Smallholder,Number of unique smallholder farmer individuals who were clients during the reporting period.,Submetric,Flow,Number of individuals or households
PI2822,Product Impact,Client Information,Cross-Sector,Client Individuals: Provided New Access,"Number of client individuals who were served by the organization and provided access  during the reporting period  to products/services they were unable to access prior to the reporting period.

Organizations should reference New Access to Water  New Access to Energy  New Access to Education  New Access to Finance or New Access to Healthcare in the glossary for more clarification

Organizations should footnote the assumptions used in reporting against this metric.",Submetric,Flow,Number of people
PI1807,Product Impact,Client Information,Cross-Sector,Client Individuals: No Direct Payment,Number of client individuals who received products/services during the reporting period where no direct payment was provided to the organization at the time of service but for which the organization expects to be reimbursed.,Submetric,Flow,Number of people
PI9622,Product Impact,Client Information,Cross-Sector,Client Individuals: Receiving Free Products/Services,Number of client individuals who received free products/services from the organization during the reporting period.,Submetric,Flow,Number of people
PI7954,Product Impact,Client Information,Cross-Sector,Client Households: Total,Number of unique households that were clients of the organization during the reporting period.  ,Metric,Flow,Number of households
PI1726,Product Impact,Client Information,Cross-Sector,Client Households: Poor,Number of unique poor households that were clients of the organization during the reporting period.,Submetric,Flow,Number of households
PI6705,Product Impact,Client Information,Cross-Sector,Client Households: Very Poor,"Number of unique very poor households that were clients of the organization during the reporting period.
",Submetric,Flow,Number of households
PI7318,Product Impact,Client Information,Cross-Sector,Client Households: Low Income,Number of unique low-income households that were clients of the organization during the reporting period.,Submetric,Flow,Number of households
PI8163,Product Impact,Client Information,Cross-Sector,Client Households: Rural,Number of unique households in rural areas that were clients of the organization during the reporting period.,Submetric,Flow,Number of households
PI1417,Product Impact,Client Information,Cross-Sector,Client Households: Urban,Number of unique households in urban areas that were clients of the organization during the reporting period.,Submetric,Flow,Number of households
PI7952,Product Impact,Client Information,Cross-Sector,Client Households: Peri-urban,Number of unique households in peri-urban areas that were clients of the organization during the reporting period.,Submetric,Flow,Number of households
PI3268,Product Impact,Client Information,Cross-Sector,Client Households: Minorities/Previously Excluded,Number of unique households with at least one household member who belongs to minority or previously excluded groups  and were clients of the organization during the reporting period.,Submetric,Flow,Number of households
PI6991,Product Impact,Client Information,Cross-Sector,Client Households: New,"Number of unique households who were first-time clients of the organization during the reporting period.

Organizations should footnote any assumptions or guidelines used when reporting against this metric.",Submetric,Flow,Number of households
PI2845,Product Impact,Client Information,Cross-Sector,Client Households: Provided New Access,Number of unique households that were clients of the organization and provided access  during the reporting period  to products/services they were unable to access prior to the reporting period.,Submetric,Flow,Number of households
PI9652,Product Impact,Client Information,Cross-Sector,Client Organizations: Total,Number of enterprises that were clients of the organization during the reporting period.,Metric,Flow,Number of organizations
PI6894,Product Impact,Client Information,Cross-Sector,Client Organizations: New,Number of enterprises that were first-time clients of the organization during the reporting period.,Submetric,Flow,Number of organizations
PI2575,Product Impact,Client Information,Cross-Sector,Client Organizations: Provided New Access,"Number of enterprise clients that were served by the organization and provided access  during the reporting period  to products/services they were unable to access prior to the reporting period.

Organizations should reference New Access to Water  New Access to Energy  New Access to Education  New Access to Finance or New Access to Healthcare in the glossary for more clarification

Organizations should footnote the assumptions used in reporting against this metric.",Submetric,Flow,Number of organizations
PI8952,Product Impact,Client Information,Cross-Sector,Client Organizations: No Direct Payment,Number of enterprise clients that received products/services during the reporting period where no direct payment was provided to the organization at the time of service but for which the organization expects to be reimbursed.,Submetric,Flow,Number of organizations
PI6050,Product Impact,Client Information,Cross-Sector,Client Organizations: Receiving Free Services,Number of enterprise clients that received free products/services from the organization during the reporting period.,Submetric,Flow,Number of organizations
PI9713,Product Impact,Client Information,Cross-Sector,Client Organizations: Microenterprises,Number of microenterprises that were clients of the organization during the reporting period.,Submetric,Flow,Number of organizations
PI4940,Product Impact,Client Information,Cross-Sector,Client Organizations: SME,Number of small-to-medium enterprises (SMEs) that were clients of the organization during the reporting period.,Submetric,Flow,Number of organizations
PI5184,Product Impact,Quantity & Reach,Cross-Sector,Client Transactions,Number of sales or client transactions during the reporting period. ,Metric,Flow,Number of sales transactions
PI9319,Product Impact,Client Information,Cross-Sector,Client Retention Rate,Retention rate of the organization's clients for the reporting period.,Metric,Flow,Decimal
